Front	Phonetic	中文释义	English	总次数	出现集数	Contexts	出现详情
accident	/'æksidәnt/	n. 意外事件, 机遇, 事故, 次要方面	n. an unfortunate mishap; especially one causing damage or injury	24	22	[S01E08] Okay, it's in spasm. Mrs. Geller: Here, sweetie, here. I took these when I had my golfing accident. ◆ [S01E13] It was an accident. Not like I was across the street with a telescope and a box of donuts. ◆ [S01E16] I don’t know whether he’s testing me, or just acting out, but my monkey is out of control. But, he keeps erasing the mes ◆ [S02E03] Ok, all right. It was an accident, I swear, all right. I was putting on my jacket, and the thing, and the lamp, and it b ◆ [S02E11] Yes! Carol and Susan's caterer had a mountain bike accident this weekend, and she's in a full body cast. ROSS, CHANDLER 	S01E08(1), S01E13(1), S01E16(1), S02E03(1), S02E11(1), S02E18(1), S02E21(1), S03E09(1), S03E10(1), S03E13(1), S03E24(1), S04E06(1), S05E08(1), S05E23(1), S06E18(1), S07E18(1), S08E04(1), S08E23(1), S09E17(1), S09E19(1), S10E02(1), S10E03(3)
accidentally	/.æksi'dentli/	adv. 偶然地, 意外地	r without advance planning	17	16	[S01E01] Well, you might try accidentally breaking something valuable of hers, say her- ◆ [S01E20] No!  Danielle, hi! It's, uh, it's Chandler!  I'm fine. Uh, listen, I don't know if you tried to call me, because, uh, id ◆ [S02E06] Hi. Uh, did I accidentally drop a condom in your case? It's kind of an emergency. ◆ [S03E03] Okay, this is good, this is good. All right listen, I have one. Janice likes to cuddle, at night, which, you know I'm al ◆ [S03E04] Right. So, what you have to do is, you have to accidentally run into her on purpose. And then act aloof.	S01E01(1), S01E20(1), S02E06(1), S03E03(1), S03E04(1), S03E09(1), S03E15(1), S05E09(1), S05E17(1), S07E13(1), S08E15(1), S09E02(2), S09E04(1), S09E13(1), S09E14(1), S10E11(1)
accompany	/ә'kʌmpәni/	vt. 陪伴, 伴随, 补充, 为...伴奏	v. go or travel along with	1	1	[S03E15] I have just resigned my post. Would you care to accompany me to the Rainbow Room? I have diplomatic coupons.	S03E15(1)
accomplish	/ә'kʌmpliʃ/	vt. 完成, 达到, 实现, 使完美	v put in effect	4	4	[S03E02] I'm not gonna gooo, so I think that will accomplish the not going. ◆ [S07E14] Look, y’know I know my life’s going pretty well, but I look around and I just see so many people who’ve accomplished so  ◆ [S08E05] Well, now she has no eyebrows, mission accomplished. ◆ [S09E06] Well, just for a couple of days, uhm... I'm here to explain to the people who gave us our grant, why it's a positive thi	S03E02(1), S07E14(1), S08E05(1), S09E06(1)
accountant	/ә'kauntәnt/	n. 会计人员, 会计师	n. someone who maintains and audits business accounts	4	4	[S01E13] Hold on, you-you knew? Mrs. Tribbiani: Of course I knew! What did you think? Your father is no James Bond. You should've ◆ [S04E02] What kind of profit is that?! And you call yourself an accountant. ◆ [S04E10] Okay! No accountants. Oh, and no one from like legal. I don’t like guys with boring jobs. ◆ [S07E19] I was her accountant four years ago.	S01E13(1), S04E02(1), S04E10(1), S07E19(1)
accuracy	/'ækjurәsi/	n. 精确, 正确	n. the quality of being near to the true value	1	1	[S09E20] Eh, you think? I mean, you went out with a guy who improved the accuracy of radiocarbon dating by a factor of 10!	S09E20(1)
accurate	/'ækjurәt/	a. 正确的, 精确的	a. conforming exactly or almost exactly to fact or to a standard or performing with total accuracy	1	1	[S08E17] Oh yeah, I’ve done it for years. I actually stopped because I was so accurate. Y’know, and-and y’know, one of the great 	S08E17(1)
accuse	/ә'kju:z/	vt. 指责, 控告, 归咎于	v. bring an accusation against; level a charge against	3	3	[S04E13] Okay, so let me just get this straight. You’re accusing me of cheating on you, and insulting my performance? ◆ [S09E09] There's no man in here. How dare you accuse me of that. ◆ [S10E13] Was he falsely accused of something?	S04E13(1), S09E09(1), S10E13(1)
ace	/eis/	n. 幺点, 好手, 少许, 发球得分	n. one of four playing cards in a deck having a single pip on its face	6	2	[S04E19] Okay. Okay.  Ace! ◆ [S08E18] Aces!	S04E19(5), S08E18(1)
ache	/eik/	n. 疼痛	n. a dull persistent (usually moderately intense) pain	2	2	[S03E03] Lips moving, still talking. I mean it may not be ideal, but I'm so ready. No, I-I-I see the way Ben looks at you. It mak ◆ [S10E16] Yeah, you know, maybe I ate too much. I keep getting these stomach aches. They come and go like every few minutes.	S03E03(1), S10E16(1)
