Front	Phonetic	中文释义	English	总次数	出现集数	Contexts	出现详情
brisk	/brisk/	a. 强烈的, 寒冷而干燥的, 活泼的	v. become brisk	2	2	[S02E18] Ohh, brisk tonight. ◆ [S07E22] Whew! That was a brisk ride!	S02E18(1), S07E22(1)
bristle	/'brisl/	n. 刚毛, 猪鬃	n. a stiff fiber (coarse hair or filament); natural or synthetic	1	1	[S01E06] Look! I cleaned! I did the windows, I did the floors... I even used all the attachments on the vacuum, except that littl	S01E06(1)
britain	/'britәn/	n. 英国	n a monarchy in northwestern Europe occupying most of the British Isles; divided into England and Sc	1	1	[S08E20] Correct! Which monarch has ruled Great Britain the longest?	S08E20(1)
brittany	/'britәni/	n. 布列塔尼（法国西北部一地区）	n a former province of northwestern France on a peninsula between the English Channel and the Bay of	2	1	[S02E23] Well, see when you're acting you need to think about stuff like that. My character, Joseph the processor guy, has two li	S02E23(2)
broad	/brɒ:d/	a. 宽广的, 辽阔的, 广大的, 显著的	n. slang term for a woman	4	2	[S07E11] Yeah, Joan Tedeski my date. She’s an assistant professor in the Linguistics department. Tall, very beautiful, and despit ◆ [S09E20] I know, I know, we can drive, we can vote, we can work, what more do these broads want?	S07E11(3), S09E20(1)
broadcast	/'brɒ:dkæst/	n. 广播, 传播	n. message that is transmitted by radio or television	2	2	[S05E23] Oh! Look what happened! {Don't get your hopes up guys, we only get to see her from the back or from the neck up. Its tim ◆ [S09E04] of course she has. if she'd never had a serious relationship I'd go round broadcasting it like some unstoppable moron.	S05E23(1), S09E04(1)
broadway	/'brɒ:dwei/	n. 百老汇大街	n. a street in Manhattan that passes through Times Square; famous for its theaters	4	3	[S01E05] Something went wrong with Underdog, and they couldn't get his head to inflate. So anyway, um, his head is like flopping  ◆ [S03E12] Yes! Guess who's in an audition for a Broadway musical? ◆ [S08E01] Chandler. Will you see if your mom can give my resume to Dennis Phillips? ‘Cause if I can get in a Broadway show then I 	S01E05(1), S03E12(1), S08E01(2)
broccoli	/'brɒkәli/	n. 花椰菜	n. plant with dense clusters of tight green flower buds	1	1	[S07E03] Well, I’ve tried everything. I give up. I guess I’m not gonna be the mom who makes the world’s best chocolate cookies. I	S07E03(1)
brochure	/'brәuʃә/	n. 小册子, 小册	n a small book usually having a paper cover	3	2	[S06E23] Well, it’s because I trust you, you’re one of my best friends, and you walked in on me when I was looking at ring brochu ◆ [S10E02] Oh, they're brochures from different adoption agencies.	S06E23(2), S10E02(1)
broil	/brɒil/	vi. 烤, 争吵, 激动	n. cooking by direct exposure to radiant heat (as over a fire or under a grill)	1	1	[S05E04] Uh, listen, I need that broiling pan that Joey borrowed the other day.	S05E04(1)
brokaw		布罗考（美国地名）		1	1	[S07E20] Umm, well let’s see uh, this one is Tom Brokaw.	S07E20(1)
broker	/'brәukә/	n. 掮客, 经纪人	v. act as a broker	1	1	[S08E09] I’m a commodities broker.	S08E09(1)
brolin		[人名] 布罗林		6	1	[S08E01] Okay, okay. It’s James Brolin. James Brolin is the father of my baby.	S08E01(6)
bronco	/'brɒŋkәu/	n. 野马	n. an unbroken or imperfectly broken mustang	1	1	[S09E13] You hear a key in the hole and you jump like a young bronco coming out of a chute for the first time. I used to be a rod	S09E13(1)
brood	/bru:d/	n. 一窝, 一伙	n. the young of an animal cared for at one time	1	1	[S09E13] You don't have to do anything. It will just be easier if it is the two of us, like college, remember? You...you break th	S09E13(1)
brook	/bruk/	n. 小溪	n. a natural stream of water smaller than a river (and often a tributary of a river)	1	1	[S03E01] All right, betting and wagering of any kind, are, I'm sure, not permitted in the happy place. Okay. Just-just, you know,	S03E01(1)
brooklyn	/'bruklin/	n. 布鲁克林区(纽约行政区)	n. a borough of New York City	13	6	[S01E05] Brooklyn Heights. ◆ [S01E06] Alright. Once I got on the subway, right, and it was at night, and I rode it all the way to Brooklyn... just for the hel ◆ [S01E07] Mom says it's all of Manhattan, parts of Brooklyn and Queens, and they have no idea when it's coming back on. ◆ [S05E21] Hey, honey! Okay, so did you find any apartments? Anything in Brooklyn Heights? ◆ [S07E05] Yeah, and then I fell asleep on the subway and went all the way to Brooklyn. Brooklyn is f-far!!	S01E05(1), S01E06(1), S01E07(1), S05E21(6), S07E05(2), S07E17(2)
broom	/bru:m/	n. 扫帚, 金雀花	n. a cleaning implement for sweeping; bundle of straws or twigs attached to a long handle	5	5	[S02E03] Stop with the broom, we're not making noise. ◆ [S02E06] Oh, man. Oh, remember when I stuck that broom in your bike spokes, and you flipped over and hit your head on the curb? ◆ [S04E05] No, but this wonder broom is amazing! ◆ [S04E23-uncut] Oh, please! She's always got a broom in her hand! ◆ [S05E17] Hey Monica, here's your broom back.	S02E03(1), S02E06(1), S04E05(1), S04E23-uncut(1), S05E17(1)
bros		n. (Bros)人名；(法、西、罗)布罗斯		1	1	[S05E07] No, it's all right, you can just drop the act Tommy. I know what's going on here. Your Danny's wingman right? You guys a	S05E07(1)
brosnan		[人名] [爱尔兰姓氏] 布罗斯南 Brosnahan的变体		2	1	[S07E20] He plays for the Yankees. Seriously, ESPN! Just once and a while, have it on in the background.  Ooh, this one was Pierc	S07E20(2)
broth	/brɒθ/	n. 原汁清汤, 肉汤	n. liquid in which meat and vegetables are simmered; used as a basis for e.g. soups or sauces	1	1	[S04E05] Here, now I don't eat chicken, so it's just noodle soup. And there's no chicken in the broth either, so it's really just	S04E05(1)
brownie	/'brauni/	n. 界仁巧克力饼	n. a junior Girl Scout	8	5	[S02E09] I can see that. A plate of brownies once told me a limerick. ◆ [S03E07] Did you make brownies today? ◆ [S03E08] Here you go Pheebs. Who else wants one of my special homemade brownies? ◆ [S07E13] Hey, it is unreasonable to expect a child to wait for a light bulb to cook brownies!  Mr. Geller: So, I think you’re box ◆ [S08E12] And, a brownie!  Well, half a brownie. Actually, it’s just bag. It’s been a long walk from the flower shop and I was sta	S02E09(2), S03E07(1), S03E08(1), S07E13(1), S08E12(3)
brownish	/'brauniʃ/	a. 呈褐色的	s of a color similar to that of wood or earth	1	1	[S07E12] Ugh. Well, we’re just gonna have to jump.  Yeah. Now, we’re gonna have to make sure to land to the right of that patch o	S07E12(1)
brownshirt		n. 纳粹党党员	n. a member of the Nazi SA which wore brown uniforms	1	1	[S06E18] Oh uh, I had trouble remembering everyone’s name, so I-I kinda came up with nicknames. Like the guy on the other side of	S06E18(1)
bruce	/bru:s/	n. 布鲁斯	n. Australian physician and bacteriologist who described the bacterium that causes undulant fever or	2	2	[S04E18] Actually that-that’s not true, in The Incredible Hulk uh, No. 72, Dr. Bruce Banner found…  Y’know, ugh, nevermind, my gi ◆ [S08E17] Honey, what is the Bruce Springsteen CD in the Kat Stevens case?	S04E18(1), S08E17(1)
bruise	/bru:z/	n. 青肿, 挫伤, 擦伤	n. an injury that doesn't break the skin but results in some discoloration	4	4	[S02E06] No, it's just a good bone bruise. And, right here is the puncture wound from your ring. ◆ [S02E20] Ok, uh, hey Richard, if you had an extra ticket to the Knicks game and you had to choose between a friend who smells and ◆ [S03E24] Y'know I have a torn rotator cuff, a hairline fracture in my right forearm, and a severely bruised Adam’s Apple, but tha ◆ [S09E05] I would, but I bruise like a peach. Besides, yyou know, everything is gonna be fine. The babys sleeping.	S02E06(1), S02E20(1), S03E24(1), S09E05(1)
bruiser	/'bru:zә(r)/	n. 职业拳击家, 彪形大汉, 气力大爱打架的人	n a large and strong and heavyset man	1	1	[S03E24] No-o-o!! TV Announcer: Uh-oh, Bruiser has Becker on the canvas and is going for his favourite area.	S03E24(1)
brunch	/brʌntʃ/	n. 早午餐	n. combination breakfast and lunch; usually served in late morning	5	3	[S02E16] Well, you know that guy that's on my show that's in a coma? He's havin' a brunch. ◆ [S03E07] All right, look, here’s the bottom line Ross, this is fixable, if we act fast, okay. So, I’ll invite him to brunch tomor ◆ [S07E06] Okay, the reason why I asked you guys out to brunch today is because I have been doing some thinking about who should be	S02E16(1), S03E07(2), S07E06(2)
brunette	/bru:'net/	n. 浅黑肤色的女人	n a person with dark (brown) hair	1	1	[S01E20] Yeah, my neighbor...  Yeah, the brunette...  She says you looked very pretty the other day in the green dress.	S01E20(1)
brunt	/brʌnt/	n. 主要冲力, 冲击	n. main force of a blow etc	1	1	[S01E21] I'd say that chair's taking the brunt.	S01E21(1)
brush	/brʌʃ/	n. 刷子, 毛笔, 争吵	n. a dense growth of bushes	14	13	[S01E06] Sure. Oh, um, Chandler? Y'know, the-the old Monica would-would remind you to scrub that Teflon pan with a plastic brush. ◆ [S01E14] Oh, man. In my next life, I'm coming back as a toilet brush. ◆ [S01E19] Something just brushed up against my right leg! ◆ [S02E04] Yeah, I mean, you know it, I mean, if it were me I, I, you know, I'd want you to, I don't know, like catch me off guard, ◆ [S02E08] Ok, all right, let's hear about the kiss. Was it like, was it like a soft brush against your lips? Or was it like a, you	S01E06(1), S01E14(1), S01E19(1), S02E04(1), S02E08(1), S02E18(1), S03E21(1), S05E23(1), S06E10(1), S07E07(1), S07E22(2), S09E08(1), S09E13(1)
brussel		n. 布鲁塞尔（比利时首都）		1	1	[S10E08] I've already stuffed a bunch of Brussel sprouts down his pants.	S10E08(1)
brussels	/'brʌsәlz/	n. 布鲁塞尔	n the capital and largest city of Belgium; seat of the North Atlantic Treaty Organization	3	2	[S02E12-E0213] The muscles from Brussels, wham bam Van Damme, did you see Time Cop? ◆ [S10E08] Huh... OH MY GOD IT'S BRUSSELS SPROUTS.	S02E12-E0213(1), S10E08(2)
brutal	/'bru:tәl/	a. 残忍的, 野蛮的, 不讲理的	s. harsh	4	4	[S01E05] Oh, yeah, that hug looked pretty brutal. ◆ [S03E14] Wow, that was kinda brutal. ◆ [S03E24] And it’s not fake, it’s totally brutal. ◆ [S04E15] Nope.  Man look at this! Ross, I can’t believe you said you’d play rugby. I mean look how brutal this is!	S01E05(1), S03E14(1), S03E24(1), S04E15(1)
bub	/bʌb/	n. 小弟弟, 小家伙	n. Strong malt liquor.	1	1	[S08E10] Bub!!!   I can’t believe this! You’re the good one! You went to college! Both years! Who did this to you?!	S08E10(1)
bubble	/'bʌbl/	n. 泡沫	n. a hollow globule of gas (e.g., air or carbon dioxide)	20	16	[S01E07] Ah, let's see. What next? Blow a bubble. A bubble's good. It's got a... boyish charm, it's impish. Here we go. ◆ [S01E12] Paolo, I really hate you for what you did to Rachel,  but I still have five of these, so heat it at 375 until the cheese ◆ [S02E08] Just waiting for it to stop bubbling. ◆ [S02E17] Now I'm mommy in this little play? Alright look, I refuse to get sucked into this like, weird little Geller dimension th ◆ [S02E24] Well, I think you should seriously consider the marriage thing, give Rachel another chance to dress up like Princess Bub	S01E07(2), S01E12(1), S02E08(1), S02E17(1), S02E24(1), S03E04(1), S04E03(1), S04E17(1), S05E02(1), S05E04(1), S05E19(1), S06E05(1), S08E13(3), S08E21(1), S09E23-E0924(1), S10E16(2)
bubblewrap		na. 泡沫包装		1	1	[S09E08] Alright. Thats it! <Pushes Amy back> Monica screaming at Ross: Forget the bubblewrap! There isn't time! <Rachel and Amy 	S09E08(1)
bubby	/'bʌbi/	n. 乳房	n. A woman's breast.	1	1	[S09E09] That's my bubby!	S09E09(1)
buck	/bʌk/	n. 元, 雄鹿, 纨绔子弟, 鞍马, 培克(赌博时的庄家标志), 碱水, 自夸, 谈话	n. United States author whose novels drew on her experiences as a missionary in China (1892-1973)	73	48	[S01E09] You owe me 20 bucks. ◆ [S01E18] Alright, you know, we got it, we got it. Let's play for real. High stakes... big bucks... ◆ [S01E24] Seven hundred bucks! ◆ [S02E05] Ok, while Ross is on the phone, everybody owes me 62 bucks for his birthday. ◆ [S02E09] Alright, alright, you know how you say I never seize the day? Well, alright, even though he's your super, I'm seizing. [	S01E09(1), S01E18(2), S01E24(1), S02E05(4), S02E09(1), S02E14(1), S02E19(3), S02E21(3), S03E03(1), S03E05(1), S03E06(1), S03E21(1), S04E02(5), S04E04(1), S04E05(2), S04E09(1), S04E10(1), S04E12(2), S04E23(1), S04E23-uncut(1), S05E04(1), S05E11(2), S05E12(1), S05E14(1), S05E15(2), S05E16(1), S05E21(1), S05E22(1), S05E23(2), S06E05(1), S06E06(1), S06E11(4), S06E15-E0616(1), S06E17(1), S06E19(1), S07E22(1), S08E06(1), S08E14(1), S08E18(1), S08E22(3), S09E06(2), S09E10(1), S09E18(3), S09E20(1), S09E21(1), S09E23-E0924(1), S10E09(1), S10E17-E1018(1)
bucket	/'bʌkit/	n. 桶	n. a roughly cylindrical vessel that is open at the top	12	9	[S02E07] [on phone] Ross, hi, it's Rachel. I'm just calling to say that um, everything's fine and I'm really happy for you and yo ◆ [S05E09] Well, I think we've all learned something about who's disgusting and who's not. Eh? All right, now, I'm going to get bac ◆ [S05E10] Yeah, I already have my bell and later on...I get my bucket. ◆ [S05E20] Hey! Y'know what? You are in our apartment all the time! Okay? This is, this is just a drop in the bucket mister! ◆ [S06E05] The ones that got me the Porsche! Will you keep up!  But I figured, if-if people keep seeing me just standing there, the	S02E07(1), S05E09(1), S05E10(4), S05E20(1), S06E05(1), S07E16(1), S08E23(1), S09E07(1), S10E03(1)
buckle	/'bʌkl/	n. 皮带扣, 扣子	n. fastener that fastens together two ends of a belt or strap; often has loose prong	2	2	[S02E08] We'll put buckles on it. ◆ [S07E22] Oh. {Transcriber’s Note: She puts the key into the ignition, which is on the left side of the steering wheel. Does anyon	S02E08(1), S07E22(1)
buckner		巴克纳（美国地名）		1	1	[S09E18] Brian Buckner & Sebastian Jones Directed by: Gary Halvorson	S09E18(1)
bucko	/'bʌkәu/	n. 欺凌弱小者		1	1	[S01E18] Well, well, well, hop back in bucko, cause I got four sixes!  I won! I actually won! Oh my God! Y'know what?  I think I'	S01E18(1)
buckwheat	/'bʌkhwi:t/	n. 荞麦, 荞麦片, 荞麦粉	n. a member of the genus Fagopyrum; annual Asian plant with clusters of small pinkish white flowers 	1	1	[S10E01] Okay Buckwheat!	S10E01(1)
bud	/bʌd/	n. 芽, 花蕾	n. a partially opened flower	5	3	[S02E14] [reads] To my best bud. [puts it back in the case] Thanks best bud. ◆ [S05E07] No, it's all right, you can just drop the act Tommy. I know what's going on here. Your Danny's wingman right? You guys a ◆ [S08E19] No, I can't. No-no, listen, I, I know how much this means to you and I also know that this is about more than just jewel	S02E14(3), S05E07(1), S08E19(1)
budge	/bʌdʒ/	vi. 微微移动	n. United States tennis player who in 1938 was the first to win the Australian and French and Englis	2	2	[S02E14] [Rachel, laughing, puts a hand on the guy's shoulder] Look at that, look at that, see how she's pushing him away and he  ◆ [S02E19] No no, uh, don't thank me for comin' in. Uh, at least let me finish. Uh, we could take the expressway but uh, this time 	S02E14(1), S02E19(1)
buffalo	/'bʌfәlәu/	n. 水牛	n. a city on Lake Erie in western New York (near Niagara Falls)	1	1	[S10E09] I like that! A sharing buffer! Yeah! I’ll order some extra fries! Maybe a plate of onion rings. Yeah. And a shrimp cockt	S10E09(1)
buffer	/'bʌfә/	n. 缓冲器, 缓冲区	n. (chemistry) an ionic compound that resists changes in its pH	1	1	[S10E09] I like that! A sharing buffer! Yeah! I’ll order some extra fries! Maybe a plate of onion rings. Yeah. And a shrimp cockt	S10E09(1)
buffet	/'bʌfit/	n. 自助餐, 小卖部, 碗橱, 殴打, 冲击	n. a piece of furniture that stands at the side of a dining room; has shelves and drawers	5	5	[S02E11] Hey, Mom? Having fun? MRS GREEN: Oh, am I! I just danced with a wonderfully large woman. And three other girls made eyes ◆ [S02E21] No, 'cause you just said dad and everywhere I go today I keep getting signs telling me to go see my father. Like when I  ◆ [S04E14] They got a breakfast buffet. ◆ [S06E01] It’s a buffet man. ◆ [S08E18] I know I’m having the worst time. There was a 15-minute line for the buffet, and when I finally got up to the plates, I 	S02E11(1), S02E21(1), S04E14(1), S06E01(1), S08E18(1)
bugger	/'bʌ^ә/	n. 老兄, 家伙, 困扰, 烦恼, 鸡奸者	n someone who engages in anal copulation (especially a male who engages in anal copulation with anot	5	5	[S04E17] I wish I could know if you’d heard any of that. I suppose I’ve either just told you I love you or given my neighbours a  ◆ [S04E23-uncut] Now, hold on! Hold on!  Look, look, your daughter and I are supposed to leave tonight for our honeymoon, now-now you-you ◆ [S07E23] Now, that can be arranged!  Slippery little bugger! ◆ [S10E03] Oh! Bugger. Should I not have said that? I feel like a perfect arse!	S04E17(1), S04E23-uncut(1), S05E01(1), S07E23(1), S10E03(1)
buick		n. 别克（汽车品牌）		2	2	[S08E02] Will the owner of a 1995 Buick LeSabre please see the front desk? Your car is about to be towed. ◆ [S09E07] Uhm... Okay, well, allright, uhm... Originally I'm from upstate, but uhm... then my mom killed herself and my stepdad we	S08E02(1), S09E07(1)
bulb	/bʌlb/	n. 球茎, 电灯泡	n. a modified bud consisting of a thickened globular underground stem serving as a reproductive stru	3	3	[S07E13] Hey, it is unreasonable to expect a child to wait for a light bulb to cook brownies!  Mr. Geller: So, I think you’re box ◆ [S07E22] Whatever Ross! Just replace the bulbs in the brake lights after you’re done. ◆ [S09E19] I think I know what you mean though...the lamp is the hotel's, but the bulbs ...oh, you already got that.	S07E13(1), S07E22(1), S09E19(1)
bulge	/bʌldʒ/	n. 胀, 膨胀	n. something that bulges out or is protuberant or projects from its surroundings	1	1	[S05E14] Okay but what about y'know my pinchable butt and my bulging biceps—She knows!	S05E14(1)
bull	/bul/	n. 公牛	n. uncastrated adult male of domestic cattle	1	1	[S02E21] What's to know? Buy sell, high low, bears bulls...[on the phone] Yes Manhattan...yeah telephone number of the stock...se	S02E21(1)
bulldozer	/'buldәuzә/	n. 推土机	n. large powerful tractor; a large blade in front flattens areas of ground	1	1	[S10E08] Oh, I left them on my bulldozer... I don't have tools!	S10E08(1)
bullet	/'bulit/	n. 子弹	n. a projectile that is fired from a gun	6	4	[S01E06] ...Luckily none of the bullets hit the engine block. So, we made it to the border, but just barely, and I- ...I've been  ◆ [S03E19] You slept with somebody three hours after you thought you broke up. I mean bullets have left guns slower! ◆ [S05E20] And it could've just as easily have been a bullet. ◆ [S09E01] That’s funny, this conversation’s how I got the bullet hole in my head. Mr. Geller: This one time I had my knee up on th	S01E06(1), S03E19(1), S05E20(3), S09E01(1)
bullfrog	/'bulfrɒg/	n. 牛蛙, 喧蛙	n. largest North American frog; highly aquatic with a deep-pitched voice	1	1	[S09E13] Jeremiah was a bullfrog. Was a good friend of mine, never understood a single word he said, but I helped him drink his w	S09E13(1)
bullwinkle		布温克尔（人名, Bullwinkle）		3	1	[S01E05] Bullwinkle socks. That's so sweet.	S01E05(3)
bully	/'buli/	n. 欺凌弱小者, 土霸	n. a cruel and brutal fellow	43	2	[S02E21] Oh, sorry we didn't know. LITTLE BULLY: [walks back from the counter] Hey, we were sitting there. ◆ [S03E25] Big bullies!!	S02E21(42), S03E25(1)
bum	/bʌm/	n. 游荡者, 懒鬼, 闹饮	v. be lazy or idle	22	21	[S04E14] Oh, no-no-no, that’s not rude! It’s perfectly in keeping with a trip that I’ve already been run down by one of your wien ◆ [S04E16] Oh no, two days, you must be bummed. ◆ [S04E23] I’m just bummed about the way I left things with Ross. I shouldn’t have lied to him about having to work. He seemed so m ◆ [S04E23-uncut] I'm just bummed about the way I left things with Ross. I shouldn't have lied to him about having to work. He seemed so m ◆ [S05E02] No. I'm sorry. It's just 'cause I couldn't be there. 'Cause all I ever get to do now is pregnant stuff, it just bums me 	S04E14(1), S04E16(1), S04E23(1), S04E23-uncut(1), S05E02(1), S05E03(1), S05E08(1), S05E14(1), S05E18(1), S06E04(1), S06E07(2), S07E11(1), S07E12(1), S07E14(1), S08E14(1), S08E15(1), S08E23(1), S09E04(1), S09E12(1), S09E14(1), S10E16(1)
bumblebee	/'bʌmbl,bi:/	n. [动]大黄蜂	n. robust hairy social bee of temperate regions	1	1	[S04E09] I don’t know, I could maybe go out for a couple of beers, but there’s this thing about bumblebees on The Discovery Chann	S04E09(1)
bummer	/'bʌmә/	n. 无赖, 游民, 游荡者	n. an experience that is irritating or frustrating or disappointing	3	3	[S03E11] Bummer. ◆ [S03E14] Hmm, bummer. ◆ [S04E07] Goin’ out, huh? Wow! Wow!  So things didn’t work out with Kathy, huh? Bummer.	S03E11(1), S03E14(1), S04E07(1)
bump	/bʌmp/	n. 撞击, 肿块	n. a lump on the body caused by a blow	23	19	[S01E09] Just aim for the bump. ◆ [S02E04] C'mon, there's nothin' to see, it's just a tiny bump, it's totally useless. ◆ [S02E23] Well, I've never had it, I feel so left out. [Sees a red bump on her arm.] Oh look! OPENING TITLES ◆ [S03E04] Perhaps, you would like me to turn like this,  so that you can bunny bump against my back. ◆ [S03E05] ...because I have a list of five goofy coffee house guys and yesterday I bumped you for that guy over there.	S01E09(1), S02E04(1), S02E23(1), S03E04(1), S03E05(1), S03E06(1), S03E08(5), S04E03(1), S04E13(1), S05E12(1), S05E23(1), S06E07(1), S06E23(1), S06E24(1), S07E13(1), S08E01(1), S08E03(1), S09E09(1), S10E02(1)
bumper	/'bʌmpә/	n. 缓冲器, 满杯	n. a glass filled to the brim (especially as a toast)	1	1	[S01E23] I used to have that bumper sticker.	S01E23(1)
bumpy	/'bʌmpi/	a. 颠簸的, 崎岖不平的	s. covered with or full of bumps	4	3	[S02E05] It was just so awkward and bumpy. ◆ [S03E08] Are you, are you, are you sure it’s ah, a new bump? I mean, no offense, I’ve always thought of Ben as a fairly bumpy hea ◆ [S09E21] Ok, Caravaggio uses chiaroscuro here to highlight the anguish of the central figure. Touch it, it's really bumpy! .	S02E05(2), S03E08(1), S09E21(1)
bun	/bʌn/	n. 小面包	n. small rounded bread either plain or sweet	5	5	"[S01E24] OK, we got the cole slaw, we got the buns... ◆ [S02E12-E0213] Oh, somebody's been doing his buns of steel video. ◆ [S04E11] Ewww! And ""Oh no!"" It’s—they just want me to be the surrogate. It’s her-it’s her egg and her sperm, and I’m-I’m just the ◆ [S09E06] Yeah! Allright! Hey, hey Ross. Check it out! Sandy taught me Hot-cross Buns. ◆ [S09E07] And that's why, no matter what mommy says, we really were on a break.  Yes we were! Yes we were!  Come here gorgeous.  O"	S01E24(1), S02E12-E0213(1), S04E11(1), S09E06(1), S09E07(1)
bunch	/bʌntʃ/	n. 串, 束	n. a grouping of a number of similar things	48	44	[S01E01] I'm supposed to attach a brackety thing to the side things, using a bunch of these little worm guys. I have no brackety  ◆ [S01E04] See buddy, that's all you need, a bunch of toothless guys hitting each other with sticks. ◆ [S01E07] Eww, look. Ugly Naked Guy lit a bunch of candles. ◆ [S02E11] All right, look, Ross. I realize that you have issues with Carol and Susan, and I feel for you, I do. But if you don't h ◆ [S02E12-E0213] Yeah, unless you hook up with a bunch of pigeons.	S01E01(1), S01E04(2), S01E07(1), S02E11(1), S02E12-E0213(1), S02E17(1), S02E21(1), S02E23(1), S03E07(1), S03E09(1), S03E14(1), S03E19(1), S03E20(1), S04E03(1), S04E09(2), S04E11(1), S04E16(1), S04E19(1), S04E22(1), S05E14(1), S05E22(1), S06E04(1), S06E10(1), S06E19(2), S06E22(1), S07E03(1), S07E14(1), S07E18(1), S07E19(1), S07E20(2), S07E23(1), S08E09(1), S08E11(1), S08E12(1), S08E13(1), S09E04(1), S09E10(1), S09E11(1), S09E18(1), S09E19(1), S10E06(1), S10E08(1), S10E10(1), S10E17-E1018(1)
bundle	/'bʌndl/	n. 捆, 束	n. a package of several things tied together for carrying or storing	1	1	[S10E16] Okay, we're gonna start in the kitchen. Plates get put into plate protectors and stacked ten to a box. The silverware ge	S10E16(1)
bungy		n. 蹦极		1	1	[S07E12] Yeah! Oh yeah, you’ll be fine! It-it’ll be uh, just like bungy jumping. Y’know? But instead of bouncing back up you-you 	S07E12(1)
bunk	/bʌŋk/	n. 铺位, 废话, 逃走	n. a long trough for feeding cattle	1	1	[S01E19] Mail call, Rachel Green, bunk seven.	S01E19(1)
bunnied		(bunny 的过去时) n. 兔子	past tense of bunny	1	1	[S03E09] Okay, looks like Ross and I are captains. Okay, so um, I bunnied first so that means I get to pick first. Joey.	S03E09(1)
bunny	/'bʌni/	n. 兔子	n. a young waitress in a nightclub whose costume includes the tail and ears of a rabbit	32	17	[S01E03] He was unbelievable. He was like that-that-that Bugs Bunny cartoon where Bugs is playing all the positions, right, but i ◆ [S01E04] Yes, Bunny? ◆ [S02E05] Well I guess I gotta start savin' up for Ross's birthday, so I guess I'll just stay home and eat dust bunnies. ◆ [S03E04] Perhaps, you would like me to turn like this,  so that you can bunny bump against my back. ◆ [S03E06] Oh my God! I don’t believe it! Oh, you poor bunny.	S01E03(1), S01E04(1), S02E05(1), S03E04(1), S03E06(1), S03E09(2), S03E21(1), S05E10(1), S05E13(1), S05E14(1), S06E05(2), S06E17(2), S07E10(2), S08E06(7), S08E18(1), S10E04(6), S10E17-E1018(1)
buon		n. (Buon)人名；(柬)本		1	1	[S01E12] Buon Giorno, Bella Phoebe!	S01E12(1)
bur	/bә:/	n. 刺果, 粘附物	n. seed vessel having hooks or prickles	1	1	[S04E10] Were you so late because you were burring this woman?	S04E10(1)
burden	/'bә:dn/	n. 负担, 重载, 担子, 责任	n. an onerous or difficult concern	3	3	[S04E23] Okay, so I’m done my part, okay. It’s your responsibility now, okay. The burden is off me, right? ◆ [S04E23-uncut] Okay, so I'm done my part, okay. It's your responsibility now, okay. The burden is off me, right? ◆ [S10E08] Well, it's just with uhm, work and the stress of adoption, we just don't feel like we have the energy. Plus, we don't th	S04E23(1), S04E23-uncut(1), S10E08(1)
bureau	/'bjuәrәu/	n. 局, 办公处	n an administrative unit of government	1	1	[S10E14] Uhm the... the ministry... of names... bureau...	S10E14(1)
burger	/'bә:ɡә/	n. 汉堡包（等于hamburger）	n. United States jurist appointed chief justice of the United States Supreme Court by Richard Nixon 	7	6	[S01E24] OK, how does everybody like their burgers? ◆ [S03E13] Oh, um, around 8:02. We ah, talked for a little while, and then um, we went out for an innocent burger. ◆ [S03E24] Hey! Which one’s my turkey burger? ◆ [S04E10] Hey! That must be why I got fired last week! Does this Orson Wells guy direct Burger King commercials? ◆ [S05E05] No, no, it's okay. Really. They're plenty of people who just see their sisters at Thanksgiving and just see their colleg	S01E24(1), S03E13(2), S03E24(1), S04E10(1), S05E05(1), S07E12(1)
burgin		[人名] 伯金		12	1	[S04E18] Mom, Dad, what are you guys doing here? Mrs. Burgin: Oh, well we cut the trip short. Mr. Burgin: France sucks!	S04E18(12)
burgundy	/'bә:gәndi/	n. 勃艮第(法国一地区), 勃艮第葡萄酒	n. red table wine from the Burgundy region of France (or any similar wine made elsewhere)	3	2	[S01E08] I have shown you everything we have. Unless you want your mother to spend eternity in a lemon yellow pant-suit, go with  ◆ [S07E03] Yeah-yeah, did-didn’t you use to have a pair? They were really round, burgundy, and they made you look kind of umm…	S01E08(2), S07E03(1)
burial	/'beriәl/	n. 埋葬, 葬礼	n. the ritual placing of a corpse in a grave	2	1	[S03E20] Well, nobody wants a ghost. But you’ve got one, because the house is sitting on an ancient Indian burial ground.	S03E20(2)
burke	/bә:k/	vt. 秘密地除去, 秘密地消灭, 压制	n. British statesman famous for his oratory; pleaded the cause of the American colonists in British 	15	2	[S02E15] Dr. Burke, it, it's me. ◆ [S04E08] Hi! Yeah, I’m calling on behalf of Monica Geller’s eye, and is um, is Richard Burke in today.   He’s out of town, but do	S02E15(8), S04E08(7)
burlesque	/bә:'lesk/	n. (讽刺性的)诙谐模仿, 滑稽戏	n. a theatrical entertainment of broad and earthy humor; consists of comic skits and short turns (an	2	2	[S04E12] Ooh. What is the name of Chandler’s father’s Las Vegas all-male burlesque? ◆ [S06E09] He’s the headliner of a gay burlesque show.	S04E12(1), S06E09(1)
burly	/'bә:li/	a. 结实的, 粗壮的, 率直的	s muscular and heavily built	2	1	[S03E23] Well, Vince is great, y'know `cause, he's like a guy, guy. Y'know? He's so burly, he's sooo very burly.	S03E23(2)
